userid,month,revenue,subscription_plan,timestamp,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
1,2023-01,60000,Premium,2023-01-01,20-35,Female,More than 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Melody,Night,Sadness or melancholy,leisure time,Playlists,3,Daily,Comedy,Interview,Both,Both,Neutral
2,2023-01,60000,Premium,2023-01-01,12-20,Male,More than 2 years,Computer or laptop,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Social gatherings or parties,Workout session,Playlists,2,Several times a week,Comedy,Interview,Both,No preference / Not applicable,Satisfied
3,2023-01,60000,Premium,2023-01-01,35-60,Others,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Pop,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,4,Once a week,Sports,Interview,No preference / Not applicable,Both,Satisfied
4,2023-01,60000,Premium,2023-01-01,20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Workout session, leisure time","recommendations, Playlists",4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
5,2023-01,60000,Premium,2023-01-01,20-35,Female,1 year to 2 years,Smartphone,Premium (paid subscription),No,Not interested,Music,Melody,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Neutral
6,2023-01,60000,Premium,2023-01-01,20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,Not interested,Music,Pop,Night,Uplifting and motivational,Workout session,Others,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
7,2023-01,60000,Premium,2023-01-01,20-35,Female,1 year to 2 years,Smartphone,Premium (paid subscription),No,Not interested,Music,Melody,Morning,Relaxation and stress relief,Office hours,recommendations,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
8,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Social gatherings or parties,leisure time,recommendations,5,Several times a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied
9,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","Playlists, Radio",4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied
10,2023-01,0,Free,2023-01-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
11,2023-01,0,Free,2023-01-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,3,Several times a week,Lifestyle and Health,Story telling,Both,Both,Satisfied
12,2023-01,0,Free,2023-01-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3,Several times a week,Comedy,Interview,Both,Shorter,Neutral
13,2023-01,60000,Premium,2023-01-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),No,Not interested,Music,Melody,Morning,Relaxation and stress relief,Office hours,Playlists,3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Neutral
14,2023-01,60000,Premium,2023-01-01,20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Others",1,Rarely,Comedy,Story telling,Well known individuals,Shorter,Neutral
15,2023-01,60000,Premium,2023-01-01,20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Not specified,Music,Pop,Morning,Relaxation and stress relief,Office hours,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
16,2023-01,60000,Premium,2023-01-01,20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),No,Not interested,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time",Others,2,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Dissatisfied
17,2023-01,60000,Premium,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",1,Daily,Comedy,Educational,Well known individuals,Longer,Satisfied
18,2023-01,60000,Premium,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),No,Not interested,Music,Melody,Night,Social gatherings or parties,Social gatherings,recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
19,2023-01,60000,Premium,2023-01-01,20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),No,Not interested,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
20,2023-01,60000,Premium,2023-01-01,20-35,Female,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Shorter,Neutral
21,2023-01,60000,Premium,2023-01-01,20-35,Female,1 year to 2 years,Smartphone,Premium (paid subscription),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
22,2023-01,60000,Premium,2023-01-01,20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,"Classical & melody, dance",Morning,Relaxation and stress relief,Office hours,recommendations,5,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
23,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Once a week,Comedy,Story telling,Well known individuals,Shorter,Satisfied
24,2023-01,0,Free,2023-01-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",1,Rarely,Comedy,Interview,Both,Shorter,Satisfied
25,2023-01,60000,Premium,2023-01-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Rock,Night,"Relaxation and stress relief, Sadness or melancholy",Study Hours,"recommendations, Radio",3,Rarely,Lifestyle and Health,Conversational,Both,Both,Neutral
26,2023-01,0,Free,2023-01-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
27,2023-01,60000,Premium,2023-01-01,12-20,Male,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied
28,2023-01,0,Free,2023-01-01,35-60,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Old songs,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Dissatisfied
29,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling",recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
30,2023-01,0,Free,2023-01-01,20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3,Daily,Comedy,Conversational,Both,Longer,Satisfied
31,2023-01,0,Free,2023-01-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied
32,2023-01,0,Free,2023-01-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,Office hours,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied
33,2023-01,60000,Premium,2023-01-01,12-20,Male,More than 2 years,Smartphone,Premium (paid subscription),No,Not interested,Music,Pop,Night,Uplifting and motivational,Workout session,"recommendations, Playlists",3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
34,2023-01,0,Free,2023-01-01,12-20,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Not specified,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Comedy,Conversational,Both,Both,Neutral
35,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Neutral
36,2023-01,0,Free,2023-01-01,12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Rap,Night,Uplifting and motivational,Workout session,Others,1,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
37,2023-01,0,Free,2023-01-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,Pop,Morning,Uplifting and motivational,"Office hours, While Traveling, leisure time","recommendations, Playlists, Radio",3,Several times a week,Business,Story telling,Both,Shorter,Neutral
38,2023-01,60000,Premium,2023-01-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied
39,2023-01,0,Free,2023-01-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
40,2023-01,0,Free,2023-01-01,12-20,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",Playlists,3,Rarely,No preference / Not applicable,Interview,Both,Shorter,Neutral
41,2023-01,0,Free,2023-01-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4,Rarely,Comedy,No preference / Not applicable,Both,Shorter,Neutral
42,2023-01,0,Free,2023-01-01,12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Rarely,No preference / Not applicable,Conversational,Both,Both,Neutral
43,2023-01,60000,Premium,2023-01-01,12-20,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Both,Longer,Satisfied
44,2023-01,0,Free,2023-01-01,12-20,Male,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others",5,Daily,Health and Fitness,Interview,Well known individuals,Longer,Satisfied
45,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling,","recommendations, Playlists",5,Once a week,Comedy,Story telling,No preference / Not applicable,Both,Satisfied
46,2023-01,0,Free,2023-01-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,5,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
47,2023-01,0,Free,2023-01-01,12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Podcast,classical,Afternoon,Sadness or melancholy,"While Traveling, Workout session",Others,3,Once a week,Lifestyle and Health,Conversational,Both,Both,Neutral
48,2023-01,0,Free,2023-01-01,35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Melody,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Food and cooking,Interview,Both,Shorter,Satisfied
49,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,"Smartphone, Wearable devices",Free (ad-supported),No,Not interested,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",3,Once a week,Comedy,No preference / Not applicable,Well known individuals,Shorter,Neutral
